	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03
							
l_rd_km_IH_83	-0.27$^a$	-0.28$^a$	-0.26$^a$	-0.26$^a$	-0.28$^a$	-0.25$^b$	
	(0.086)	(0.093)	(0.099)	(0.097)	(0.10)	(0.10)	
l_emp83	0.21$^a$	0.25$^b$	0.26$^b$	0.26$^b$	0.14	0.017	0.34$^b$
	(0.050)	(0.11)	(0.11)	(0.12)	(0.091)	(0.099)	(0.17)
l_pop70		0.094	0.23	0.17	0.21	0.33	0.37
		(0.25)	(0.25)	(0.26)	(0.26)	(0.25)	(0.32)
l_pop60		-0.22	-0.38	-0.31	-0.30	-0.37	-0.53
		(0.31)	(0.32)	(0.34)	(0.37)	(0.35)	(0.40)
l_pop50		0.28	0.39	0.35	0.20	0.32	0.34
		(0.31)	(0.31)	(0.32)	(0.37)	(0.29)	(0.49)
l_pop40		-0.41	-0.36	-0.34	-0.21	-0.41	-0.16
		(0.40)	(0.38)	(0.38)	(0.39)	(0.34)	(0.65)
l_pop30		0.12	0.023	0.0070	-0.032	0.15	-0.15
		(0.25)	(0.25)	(0.25)	(0.27)	(0.24)	(0.40)
l_pop20		0.099	0.047	0.057	0.14	0.081	0.12
		(0.11)	(0.11)	(0.11)	(0.14)	(0.11)	(0.15)
pc_aquifer_msa			-0.00019	0.0022	0.0025	0.0011	
			(0.00077)	(0.0031)	(0.0031)	(0.0030)	
elevat_range_msa			-0.000049	-0.000034	0.000078	-0.000018	
			(0.000052)	(0.00012)	(0.00010)	(0.00016)	
ruggedness_msa			-0.00078	-0.0055	-0.0028	-0.0052	
			(0.0032)	(0.0099)	(0.010)	(0.0076)	
heating_dd			0.000024	0.000020	0.000010	0.000051	
			(0.000033)	(0.000034)	(0.000038)	(0.000053)	
cooling_dd			-0.000026	-0.000032	0.000021	0.000094	
			(0.00010)	(0.000100)	(0.00010)	(0.00011)	
pc_aquifer_msa2				-0.000023	-0.000029	-0.000014	
				(0.000037)	(0.000037)	(0.000032)	
elevat_range_msa2				-9.1e-09	-3.4e-08	-1.9e-08	
				(3.2e-08)	(3.0e-08)	(3.7e-08)	
ruggedness_msa2				0.000039	-0.000034	-0.000048	
				(0.00012)	(0.00013)	(0.00010)	
eleva_rug				1.4e-06	2.0e-06	3.4e-06	
				(3.6e-06)	(3.3e-06)	(3.3e-06)	
S_somecollege_80					0.066	-0.56	
					(0.54)	(0.50)	
l_mean_income					1.05$^c$	1.77$^b$	
					(0.63)	(0.73)	
seg1980_ghetto					0.12$^c$	0.12	
					(0.068)	(0.074)	
S_poor_80					0.40	0.78	
					(0.53)	(0.61)	
Smanuf77					0.12	0.28	
					(0.27)	(0.29)	
div1						0.41	
						(0.49)	
div2						-0.29	
						(0.21)	
div3						-0.34	
						(0.21)	
div4						-0.15	
						(0.20)	
div5						0.029	
						(0.17)	
div6						-0.011	
						(0.18)	
div7						-0.21	
						(0.17)	
div8						0.0072	
						(0.14)	
l_road1980							-0.53$^b$
							(0.23)
Constant	-0.94$^a$	-0.90$^a$	-0.97$^b$	-0.91$^c$	-10.9$^c$	-18.0$^a$	-0.43
	(0.29)	(0.32)	(0.47)	(0.49)	(6.05)	(6.97)	(0.40)
							
Observations	227	227	227	227	227	227	227
R-squared	0.42	0.44	0.43	0.44	0.48	0.52	0.01
Overid	0.42	0.41	0.54	0.57	0.72	0.96	0.47
First stage F	17	13.3	11.8	11.1	9.12	8.03	11.9
Robust standard errors in parentheses							
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1							
