	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03
							
l_rd_km_IH_83	-0.42$^b$	-0.46$^b$	-0.69$^a$	-0.57$^b$	-0.93$^a$	-1.14$^a$	
	(0.19)	(0.19)	(0.20)	(0.23)	(0.14)	(0.092)	
l_emp83	0.34$^b$	0.52	0.41	0.54	-0.34	4.61$^a$	0.30
	(0.15)	(0.64)	(0.76)	(0.78)	(0.89)	(1.75)	(0.89)
l_pop70		0.69	0.74	-0.55	0.97	-14.0$^b$	2.41
		(1.83)	(1.90)	(2.96)	(4.07)	(5.96)	(2.48)
l_pop60		3.31	2.93	4.92	-3.85	13.5	6.60
		(3.10)	(5.43)	(6.78)	(6.00)	(10.2)	(6.04)
l_pop50		-5.86	-5.84	-7.13	1.69	-8.13	-12.9
		(5.62)	(8.67)	(9.34)	(7.69)	(11.3)	(10.8)
l_pop40		0.11	2.67	4.78	-1.31	5.70	2.72
		(5.26)	(6.26)	(9.60)	(4.79)	(6.05)	(8.41)
l_pop30		1.94	-1.46	-4.77	7.23	-3.79	-1.11
		(5.08)	(4.99)	(7.49)	(4.99)	(4.24)	(8.94)
l_pop20		-0.44	1.02	2.53	-4.14$^c$	2.76	2.66
		(2.61)	(2.80)	(2.79)	(2.38)	(3.03)	(5.50)
pc_aquifer_msa			-0.0042	0.0073	-0.021$^c$	-0.0017	
			(0.0036)	(0.019)	(0.012)	(0.0078)	
elevat_range_msa			-0.000061	-0.00040	-0.00037	-0.0020	
			(0.00064)	(0.0015)	(0.0014)	(0.0014)	
ruggedness_msa			0.0045	0.18$^b$	0.091	0.20$^a$	
			(0.021)	(0.084)	(0.077)	(0.067)	
heating_dd			-0.000037	-0.00030	0.00097$^c$	-0.00061	
			(0.00065)	(0.00089)	(0.00051)	(0.00080)	
cooling_dd			-0.00075	-0.00088	0.0041$^a$	-0.0012	
			(0.0022)	(0.0029)	(0.0015)	(0.0026)	
pc_aquifer_msa2				-0.00016	0.00011	-0.000069	
				(0.00020)	(0.00012)	(0.000080)	
elevat_range_msa2				-3.7e-07	-9.6e-07	2.1e-06$^c$	
				(1.1e-06)	(1.1e-06)	(1.2e-06)	
ruggedness_msa2				-0.0059$^a$	-0.0040$^b$	-0.0072$^a$	
				(0.0020)	(0.0019)	(0.0017)	
eleva_rug				0.000024	0.000059	2.1e-06	
				(0.000093)	(0.000066)	(0.000036)	
S_somecollege_80					2.83	9.36$^b$	
					(4.03)	(3.71)	
l_mean_income					2.22	-4.33	
					(3.46)	(3.11)	
seg1980_ghetto					0.49	0.98$^a$	
					(0.49)	(0.36)	
S_poor_80					2.98	7.13$^b$	
					(2.79)	(2.82)	
Smanuf77					-2.66	1.29	
					(3.16)	(1.78)	
div1						-1.38$^a$	
						(0.41)	
o.div2						-	
							
o.div3						-	
							
o.div4						-	
							
o.div5						-	
							
o.div6						-	
							
o.div7						-	
							
o.div8						-	
							
l_road1980							-1.11
							(0.79)
Constant	-1.76$^c$	-0.94	-1.35	1.07	-29.5	46.5	-1.54
	(1.02)	(1.38)	(7.03)	(9.82)	(33.0)	(34.7)	(2.18)
							
Observations	31	31	31	31	31	31	31
R-squared	0.63	0.72	0.86	0.86	0.94	0.95	0.26
Overid	0.15	0.19	0.045	0.041	0.0078	0.027	0.36
First stage F	8.26	3.42	1.20	0.71	3.56	2.18	48.5
Robust standard errors in parentheses							
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1							
