	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	Dl_emp03	Dl_emp03	Dl_emp03	Dl_emp03	Dl_emp03	Dl_emp03	Dl_emp03	Dl_pop00
								
l_rd_km_IH_83	0.0097	0.16	0.15	0.13	0.033	0.091		0.12
	(0.093)	(0.12)	(0.11)	(0.12)	(0.13)	(0.092)		(0.098)
l_emp83	-0.026	-0.011	-0.059	-0.040	0.100	0.100	-0.082	0.45$^a$
	(0.057)	(0.10)	(0.12)	(0.13)	(0.12)	(0.098)	(0.14)	(0.090)
l_pop70		1.08$^a$	1.06$^a$	1.04$^a$	0.86$^a$	0.56$^a$	0.91$^a$	0.29$^c$
		(0.19)	(0.19)	(0.19)	(0.22)	(0.20)	(0.15)	(0.17)
l_pop60		-1.59$^a$	-1.51$^a$	-1.47$^a$	-1.25$^a$	-1.10$^a$	-1.27$^a$	-1.00$^a$
		(0.32)	(0.31)	(0.31)	(0.30)	(0.24)	(0.26)	(0.27)
l_pop50		0.70$^b$	0.63$^b$	0.59$^b$	0.36	0.56$^a$	0.57$^b$	0.51$^b$
		(0.30)	(0.30)	(0.29)	(0.26)	(0.20)	(0.25)	(0.25)
l_pop40		-0.37	-0.34	-0.31	0.060	-0.23	-0.42	-0.50$^b$
		(0.25)	(0.26)	(0.26)	(0.27)	(0.21)	(0.26)	(0.21)
l_pop30		0.00077	0.059	0.038	-0.28	-0.086	0.067	0.076
		(0.19)	(0.20)	(0.20)	(0.23)	(0.16)	(0.21)	(0.14)
l_pop20		0.041	0.024	0.034	0.12	0.099	0.059	0.044
		(0.093)	(0.097)	(0.097)	(0.12)	(0.091)	(0.085)	(0.081)
pc_aquifer_msa			0.00039	0.0011	0.0016	-0.00059		
			(0.00060)	(0.0015)	(0.0016)	(0.0016)		
elevat_range_msa			-5.3e-06	-0.000023	-5.2e-06	0.00025		
			(0.000065)	(0.00015)	(0.00016)	(0.00017)		
ruggedness_msa			-0.0013	0.0048	0.0072	0.00090		
			(0.0034)	(0.0097)	(0.0096)	(0.0086)		
heating_dd			-0.000051	-0.000055	-0.000031	0.000084		
			(0.000053)	(0.000056)	(0.000062)	(0.000061)		
cooling_dd			-0.000045	-0.000047	-0.000080	0.00016		
			(0.000094)	(0.000099)	(0.00010)	(0.00010)		
pc_aquifer_msa2				-9.5e-06	-0.000017	-1.9e-06		
				(0.000018)	(0.000020)	(0.000018)		
elevat_range_msa2				-1.3e-08	2.0e-08	-2.2e-07		
				(1.4e-07)	(1.4e-07)	(1.4e-07)		
ruggedness_msa2				-0.00016	-0.00012	-0.00031		
				(0.00020)	(0.00020)	(0.00023)		
eleva_rug				1.5e-06	-3.8e-06	9.6e-06		
				(8.3e-06)	(9.1e-06)	(8.7e-06)		
S_somecollege_80					0.24	0.23		
					(0.48)	(0.45)		
l_mean_income					-0.78$^a$	-0.19		
					(0.28)	(0.24)		
seg1980_ghetto					0.044	0.011		
					(0.038)	(0.035)		
S_poor_80					0.031	0.16		
					(0.54)	(0.46)		
Smanuf77					-0.50$^b$	-0.44$^a$		
					(0.22)	(0.15)		
o.div1						-		
								
o.div2						-		
								
div3						0.090		
						(0.079)		
o.div4						-		
								
div5						0.25$^a$		
						(0.045)		
div6						0.23$^a$		
						(0.057)		
o.div7						-		
								
o.div8						-		
								
l_road1980							0.22	
							(0.16)	
Constant	0.83$^a$	1.51$^a$	1.62$^a$	1.53$^a$	8.76$^a$	2.50	1.06$^a$	1.52$^a$
	(0.27)	(0.36)	(0.46)	(0.45)	(2.63)	(2.32)	(0.18)	(0.33)
								
Observations	92	92	92	92	92	92	92	92
R-squared	0.01	0.44	0.46	0.48	0.58	0.67	0.52	0.67
Overid	1	0.86	0.60	0.61	0.59	0.59	0.71	0.51
First stage F	16.1	4.02	4.10	3.06	2.52	3.02	3.87	4.02
Robust standard errors in parentheses								
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1								
