	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03	Dl_rd_km_IH_03
							
l_rd_km_IH_83	-0.52$^a$	-0.53$^a$	-0.54$^a$	-0.55$^a$	-0.56$^a$	-0.54$^a$	
	(0.10)	(0.10)	(0.11)	(0.11)	(0.10)	(0.089)	
l_emp83	0.34$^a$	0.31$^b$	0.29$^b$	0.28$^b$	0.19$^c$	0.12	0.25$^c$
	(0.067)	(0.12)	(0.12)	(0.12)	(0.11)	(0.098)	(0.15)
l_pop70		0.076	0.19	0.19	0.15	0.14	0.22
		(0.28)	(0.28)	(0.29)	(0.29)	(0.28)	(0.29)
l_pop60		0.016	-0.16	-0.14	-0.085	-0.083	-0.50
		(0.37)	(0.37)	(0.38)	(0.42)	(0.41)	(0.32)
l_pop50		0.084	0.19	0.15	-0.039	0.077	0.43
		(0.33)	(0.35)	(0.36)	(0.40)	(0.36)	(0.42)
l_pop40		-0.16	-0.070	-0.0031	0.16	-0.023	-0.48
		(0.38)	(0.40)	(0.41)	(0.43)	(0.40)	(0.59)
l_pop30		-0.20	-0.27	-0.30	-0.34	-0.15	0.22
		(0.28)	(0.27)	(0.28)	(0.29)	(0.26)	(0.32)
l_pop20		0.23$^c$	0.19	0.20	0.29$^b$	0.23$^c$	0.020
		(0.13)	(0.13)	(0.13)	(0.14)	(0.12)	(0.12)
pc_aquifer_msa			-0.0010	0.0012	0.0010	0.00034	
			(0.00082)	(0.0026)	(0.0027)	(0.0027)	
elevat_range_msa			0.000030	0.00016	0.00022$^c$	0.00016	
			(0.000039)	(0.00011)	(0.00011)	(0.00014)	
ruggedness_msa			-0.0014	-0.0076	-0.0051	-0.0052	
			(0.0032)	(0.0081)	(0.0081)	(0.0075)	
heating_dd			0.000055$^c$	0.000051	0.000025	0.000052	
			(0.000033)	(0.000034)	(0.000036)	(0.000058)	
cooling_dd			0.000095	0.000096	0.000077	0.00012	
			(0.000087)	(0.000088)	(0.000093)	(0.00012)	
pc_aquifer_msa2				-0.000023	-0.000019	-0.000016	
				(0.000031)	(0.000030)	(0.000028)	
elevat_range_msa2				-3.2e-08	-5.0e-08	-5.1e-08	
				(3.7e-08)	(3.6e-08)	(3.8e-08)	
ruggedness_msa2				0.000098	0.000013	-0.000062	
				(0.00013)	(0.00013)	(0.00013)	
eleva_rug				-2.9e-08	9.0e-07	3.5e-06	
				(4.3e-06)	(3.9e-06)	(3.8e-06)	
S_somecollege_80					0.24	-0.26	
					(0.59)	(0.57)	
l_mean_income					0.76	1.29$^b$	
					(0.46)	(0.51)	
seg1980_ghetto					0.14$^b$	0.12$^c$	
					(0.060)	(0.061)	
S_poor_80					0.37	0.53	
					(0.56)	(0.62)	
Smanuf77					-0.37	-0.30	
					(0.34)	(0.34)	
div1						0.20	
						(0.35)	
div2						-0.17	
						(0.23)	
div3						-0.12	
						(0.23)	
div4						-0.0017	
						(0.23)	
div5						0.15	
						(0.18)	
div6						0.17	
						(0.20)	
div7						-0.12	
						(0.18)	
div8						0.14	
						(0.18)	
l_road1980							-0.22
							(0.14)
Constant	-1.18$^a$	-1.32$^a$	-1.85$^a$	-1.85$^a$	-8.72$^c$	-14.1$^a$	-0.42
	(0.31)	(0.39)	(0.60)	(0.60)	(4.48)	(4.98)	(0.40)
							
Observations	227	227	227	227	227	227	227
R-squared	0.54	0.55	0.56	0.57	0.59	0.63	0.06
Robust standard errors in parentheses							
$^a$ p<0.01, $^b$ p<0.05, $^c$ p<0.1							
